# Risultati internazionali REALI tra le 48 nazionali del Mondiale 2026 (dal 2024-01-01).
# Fonte: dataset pubblico 'martj42/international_results' (GitHub), risultati verificabili.
# Usato per il backtest di ACCURATEZZA del modello (NON servono quote).
date,home,away,home_score,away_score,neutral
2024-11-14,Qatar,Uzbekistan,3,2,false
2024-11-15,Capo Verde,Egitto,1,1,false
2024-11-15,Scozia,Croazia,1,0,false
2024-11-15,Uruguay,Colombia,3,2,false
2024-11-16,Germania,Bosnia-Erzegovina,7,0,false
2024-11-18,Croazia,Portogallo,1,1,false
2024-11-18,Spagna,Svizzera,3,2,false
2024-11-19,Bosnia-Erzegovina,Olanda,1,1,false
2024-11-19,Brasile,Uruguay,1,1,false
2024-11-19,Colombia,Ecuador,0,1,false
2024-12-28,Iraq,Arabia Saudita,1,3,true
2025-01-22,Uzbekistan,Giordania,0,0,true
2025-03-20,Brasile,Colombia,2,1,false
2025-03-20,Canada,Messico,0,2,true
2025-03-20,Croazia,Francia,2,0,false
2025-03-20,Olanda,Spagna,2,2,false
2025-03-20,USA,Panama,0,1,false
2025-03-21,Uruguay,Argentina,0,1,false
2025-03-23,Francia,Croazia,2,0,false
2025-03-23,Panama,Messico,1,2,true
2025-03-23,Spagna,Olanda,3,3,false
2025-03-23,USA,Canada,1,2,false
2025-03-25,Argentina,Brasile,4,1,false
2025-03-25,Colombia,Paraguay,2,2,false
2025-03-25,Corea del Sud,Giordania,1,1,false
2025-03-25,Giappone,Arabia Saudita,0,0,false
2025-03-25,Iran,Uzbekistan,2,2,false
2025-05-30,Arabia Saudita,Giordania,2,0,false
2025-06-04,Germania,Portogallo,1,2,false
2025-06-05,Australia,Giappone,1,0,false
2025-06-05,Ecuador,Brasile,0,0,false
2025-06-05,Iraq,Corea del Sud,0,2,false
2025-06-05,Paraguay,Uruguay,2,0,false
2025-06-05,Qatar,Iran,1,0,false
2025-06-05,Spagna,Francia,5,4,true
2025-06-06,Marocco,Tunisia,2,0,false
2025-06-07,Costa d'Avorio,Nuova Zelanda,0,1,true
2025-06-07,Messico,Svizzera,2,4,true
2025-06-07,USA,Turchia,1,2,false
2025-06-08,Germania,Francia,0,2,false
2025-06-08,Portogallo,Spagna,2,2,true
2025-06-09,Croazia,Cechia,5,1,false
2025-06-10,Arabia Saudita,Australia,1,2,false
2025-06-10,Argentina,Colombia,1,1,false
2025-06-10,Brasile,Paraguay,1,0,false
2025-06-10,Canada,Costa d'Avorio,0,0,false
2025-06-10,Giordania,Iraq,0,1,false
2025-06-10,Haiti,Curaçao,1,5,true
2025-06-10,Inghilterra,Senegal,1,3,false
2025-06-10,Messico,Turchia,1,0,true
2025-06-10,Svezia,Algeria,4,3,false
2025-06-10,USA,Svizzera,0,4,false
2025-06-10,Uzbekistan,Qatar,3,0,false
2025-06-15,Haiti,Arabia Saudita,0,1,true
2025-06-19,USA,Arabia Saudita,1,0,false
2025-06-21,Curaçao,Canada,1,1,true
2025-06-22,USA,Haiti,2,1,false
2025-06-28,Messico,Arabia Saudita,2,0,true
2025-07-06,USA,Messico,1,2,false
2025-09-04,Paraguay,Ecuador,0,0,false
2025-09-05,Australia,Nuova Zelanda,1,0,false
2025-09-06,Messico,Giappone,0,0,true
2025-09-06,USA,Corea del Sud,0,2,false
2025-09-07,Turchia,Spagna,0,6,false
2025-09-08,Cechia,Arabia Saudita,1,1,false
2025-09-09,Bosnia-Erzegovina,Austria,1,2,false
2025-09-09,Congo DR,Senegal,2,3,false
2025-09-09,Ecuador,Argentina,1,0,false
2025-09-09,Messico,Corea del Sud,2,2,true
2025-09-09,Nuova Zelanda,Australia,1,3,false
2025-09-09,USA,Giappone,2,0,false
2025-10-09,Cechia,Croazia,0,0,false
2025-10-10,Canada,Australia,0,1,false
2025-10-10,Corea del Sud,Brasile,0,5,false
2025-10-10,Giappone,Paraguay,2,2,false
2025-10-10,Svezia,Svizzera,0,2,false
2025-10-10,USA,Ecuador,1,1,false
2025-10-11,Messico,Colombia,0,4,true
2025-10-13,Uzbekistan,Uruguay,1,2,true
2025-10-14,Arabia Saudita,Iraq,0,0,false
2025-10-14,Canada,Colombia,0,0,true
2025-10-14,Corea del Sud,Paraguay,2,0,false
2025-10-14,Giappone,Brasile,3,2,false
2025-10-14,Messico,Ecuador,1,1,false
2025-10-14,Norvegia,Nuova Zelanda,1,1,false
2025-10-14,USA,Australia,2,1,false
2025-11-13,Canada,Ecuador,0,0,false
2025-11-13,Iran,Capo Verde,0,0,true
2025-11-14,Arabia Saudita,Costa d'Avorio,1,0,false
2025-11-14,Giappone,Ghana,2,0,false
2025-11-14,Tunisia,Giordania,3,2,false
2025-11-14,Uzbekistan,Egitto,2,0,true
2025-11-15,Brasile,Senegal,2,0,true
2025-11-15,Colombia,Nuova Zelanda,2,1,true
2025-11-15,Messico,Uruguay,0,0,false
2025-11-15,Svizzera,Svezia,4,1,false
2025-11-15,USA,Paraguay,2,1,false
2025-11-17,Capo Verde,Egitto,1,1,true
2025-11-18,Arabia Saudita,Algeria,0,2,false
2025-11-18,Austria,Bosnia-Erzegovina,1,1,false
2025-11-18,Brasile,Tunisia,1,1,true
2025-11-18,Colombia,Australia,3,0,true
2025-11-18,Corea del Sud,Ghana,1,0,false
2025-11-18,Ecuador,Nuova Zelanda,2,0,true
2025-11-18,Iran,Uzbekistan,0,0,true
2025-11-18,Messico,Paraguay,1,2,true
2025-11-18,Spagna,Turchia,2,2,false
2025-11-18,USA,Uruguay,5,1,false
